id,key,Rank,Taxa,originalName,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common,scientificName,canonicalName,Status,Confidence,Match,Stamp
G04219,5229134,SPECIES,Vanellus miles,Vanellus miles,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus miles,Masked Lapwing,"Vanellus miles (Boddaert, 1783)",Vanellus miles,ACCEPTED,100,EXACT,2019-12-02T14:56:29Z
G04227,2486622,SPECIES,Pardalotus punctatus,Pardalotus punctatus,Animalia,Chordata,Aves,Passeriformes,Pardalotidae,Pardalotus,Pardalotus punctatus,Spotted Pardalote,"Pardalotus punctatus (Shaw, 1792)",Pardalotus punctatus,ACCEPTED,100,EXACT,2019-12-02T14:47:08Z
G04243,2481481,SPECIES,Pterodroma macroptera,Pterodroma macroptera,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma macroptera,Great-winged Petrel,"Pterodroma macroptera (A.Smith, 1840)",Pterodroma macroptera,ACCEPTED,100,EXACT,2019-12-02T14:51:04Z
G04251,2486602,SPECIES,Sericornis frontalis,Sericornis frontalis,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Sericornis,Sericornis frontalis,White-browed Scrubwren,"Sericornis frontalis (Vigors & Horsfield, 1827)",Sericornis frontalis,ACCEPTED,100,EXACT,2019-12-02T14:52:29Z
G04279,6170967,SUBSPECIES,Stipiturus malachurus,Stipiturus malachurus malachurus,Animalia,Chordata,Aves,Passeriformes,Maluridae,Stipiturus,Stipiturus malachurus,NA,Stipiturus malachurus malachurus,Stipiturus malachurus malachurus,ACCEPTED,100,EXACT,2019-12-02T14:53:54Z
G04307,2386183,SPECIES,Mogurnda thermophila,Mogurnda thermophila,Animalia,Chordata,Actinopterygii,Perciformes,Eleotridae,Mogurnda,Mogurnda thermophila,Dalhousie mogurnda,"Mogurnda thermophila Allen & Jenkins, 1999",Mogurnda thermophila,ACCEPTED,100,EXACT,2019-12-02T14:43:15Z
G04323,7763240,SPECIES,Cryptoblepharus australis,Cryptoblepharus australis,Animalia,Chordata,Reptilia,Squamata,Scincidae,Cryptoblepharus,Cryptoblepharus australis,Inland snake-eyed skink,"Cryptoblepharus australis (Sternfeld, 1918)",Cryptoblepharus australis,ACCEPTED,100,EXACT,2019-12-02T14:31:27Z
G04375,7194059,SUBSPECIES,Isoodon obesulus,Isoodon obesulus obesulus,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Isoodon,Isoodon obesulus,NA,Isoodon obesulus obesulus,Isoodon obesulus obesulus,ACCEPTED,100,EXACT,2019-12-02T14:38:59Z
G04383,6170969,SUBSPECIES,Stipiturus malachurus,Stipiturus malachurus polionotum,Animalia,Chordata,Aves,Passeriformes,Maluridae,Stipiturus,Stipiturus malachurus,NA,"Stipiturus malachurus polionotum Schodde & I.J.Mason, 1999",Stipiturus malachurus polionotum,ACCEPTED,100,EXACT,2019-12-02T14:53:57Z
G04391,8821932,VARIETY,Perameles bougainville,Perameles bougainville bougainville,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Perameles,Perameles bougainville,NA,Perameles bougainville var. bougainville,Perameles bougainville bougainville,ACCEPTED,100,EXACT,2019-12-02T14:47:37Z
G04411,2376813,SPECIES,Tasmanogobius lasti,Tasmanogobius lasti,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Tasmanogobius,Tasmanogobius lasti,Lagoon goby,"Tasmanogobius lasti Hoese, 1991",Tasmanogobius lasti,ACCEPTED,100,EXACT,2019-12-02T14:54:53Z
G04499,4848207,SPECIES,Eudynamys orientalis,Eudynamys orientalis,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Eudynamys,Eudynamys orientalis,Pacific Koel,Eudynamys orientalis,Eudynamys orientalis,ACCEPTED,100,EXACT,2019-12-02T14:35:08Z
G04527,2367919,SPECIES,Misgurnus anguillicaudatus,Misgurnus anguillicaudatus,Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Misgurnus,Misgurnus anguillicaudatus,Oriental weatherfish,"Misgurnus anguillicaudatus (Cantor, 1842)",Misgurnus anguillicaudatus,ACCEPTED,100,EXACT,2019-12-02T14:43:12Z
G04543,8538626,SPECIES,Eremiascincus phantasmus,Eremiascincus phantasmus,Animalia,Chordata,Reptilia,Squamata,Scincidae,Eremiascincus,Eremiascincus phantasmus,Ghost Skink,"Eremiascincus phantasmus Mecke, Doughty & Donnellan, 2013",Eremiascincus phantasmus,ACCEPTED,100,EXACT,2019-12-02T14:34:56Z
G04551,2409167,SPECIES,Ammotretis rostratus,Ammotretis rostratus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Ammotretis,Ammotretis rostratus,Longsnout flounder,"Ammotretis rostratus Günther, 1862",Ammotretis rostratus,ACCEPTED,100,EXACT,2019-12-02T14:23:30Z
G04595,2383927,SPECIES,Ophthalmolepis lineolata,Ophthalmolepis lineolata,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Ophthalmolepis,Ophthalmolepis lineolata,Australian maori-wrasse,"Ophthalmolepis lineolata (Valenciennes, 1839)",Ophthalmolepis lineolata,ACCEPTED,100,EXACT,2019-12-02T14:46:09Z
G04607,2387397,SPECIES,Olisthops cyanomelas,Olisthops cyanomelas,Animalia,Chordata,Actinopterygii,Perciformes,Odacidae,Olisthops,Olisthops cyanomelas,herring cale,"Olisthops cyanomelas Richardson, 1850",Olisthops cyanomelas,ACCEPTED,100,EXACT,2019-12-02T14:45:59Z
G04615,2391982,SPECIES,Sillaginodes punctatus,Sillaginodes punctatus,Animalia,Chordata,Actinopterygii,Perciformes,Sillaginidae,Sillaginodes,Sillaginodes punctatus,King George whiting,"Sillaginodes punctatus (Cuvier, 1829)",Sillaginodes punctatus,ACCEPTED,100,EXACT,2019-12-02T14:52:41Z
G04623,2408028,SPECIES,Aracana aurita,Aracana aurita,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Aracanidae,Aracana,Aracana aurita,Striped cowfish,"Aracana aurita (Shaw, 1798)",Aracana aurita,ACCEPTED,100,EXACT,2019-12-02T14:25:16Z
G04631,5213388,SPECIES,Diodon nicthemerus,Diodon nicthemerus,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Diodontidae,Diodon,Diodon nicthemerus,Globe fish,"Diodon nicthemerus Cuvier, 1818",Diodon nicthemerus,ACCEPTED,100,EXACT,2019-12-02T14:33:33Z
